Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma
0.990625,0.975,0.990625,1.0,0.0,0.0,0.0,1.0,1.0,0.1,124.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.990625,0.975,0.990625,0.996875,0.0,0.0,0.0,1.0,1.0,0.1,124.0,ML,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.990625,0.978125,0.990625,0.99375,0.0,0.0,0.0,1.0,1.0,0.1,124.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.990625,0.975,0.990625,0.99375,0.0,0.0,0.0,1.0,1.0,0.1,124.0,mixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.959375,0.7875,0.9625,0.98125,0.0,0.0,0.0,1.0,1.0,0.1,24.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.959375,0.790625,0.9625,0.990625,0.0,0.0,0.0,1.0,1.0,0.1,24.0,ML,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.959375,0.784375,0.9625,0.984375,0.0,0.0,0.0,1.0,1.0,0.1,24.0,fixed,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.959375,0.7875,0.9625,0.996875,0.0,0.0,0.0,1.0,1.0,0.1,24.0,mixed,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.940625,0.696875,0.934375,0.721875,0.0,0.0,0.0,1.0,1.0,0.1,12.0,dnn,12.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.940625,0.646875,0.934375,0.975,0.0,0.0,0.0,1.0,1.0,0.1,12.0,ML,12.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.940625,0.63125,0.934375,0.984375,0.0,0.0,0.0,1.0,1.0,0.1,12.0,fixed,12.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.940625,0.684375,0.934375,0.99375,0.0,0.0,0.0,1.0,1.0,0.1,12.0,mixed,12.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.76875,0.375,0.84375,0.971875,0.0,0.0,0.0,1.0,1.0,0.1,2.0,dnn,2.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.76875,0.303125,0.84375,0.95625,0.0,0.0,0.0,1.0,1.0,0.1,2.0,ML,2.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.76875,0.334375,0.84375,0.940625,0.0,0.0,0.0,1.0,1.0,0.1,2.0,fixed,2.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.76875,0.325,0.84375,0.95,0.0,0.0,0.0,1.0,1.0,0.1,2.0,mixed,2.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.93125,0.6125,0.953125,0.984375,0.0,0.0,0.0,1.0,1.0,0.1,12.0,dnn,12.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95625,0.815625,0.98125,0.990625,0.0,0.0,0.0,1.0,0.99375,0.1,12.0,dnn,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95625,0.7625,0.98125,0.965625,0.0,0.0,0.0,1.0,0.99375,0.1,12.0,ML,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95625,0.78125,0.98125,0.984375,0.0,0.0,0.0,1.0,0.99375,0.1,12.0,fixed,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.95625,0.78125,0.98125,0.98125,0.0,0.0,0.0,1.0,0.99375,0.1,12.0,mixed,24.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9875,0.984375,0.9875,0.996875,0.0,0.0,0.0,1.0,0.9875,0.1,12.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9875,0.971875,0.9875,0.903125,0.0,0.0,0.0,1.0,0.9875,0.1,12.0,ML,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9875,0.971875,0.9875,0.4375,0.0,0.0,0.0,1.0,0.9875,0.1,12.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9875,0.978125,0.9875,0.990625,0.0,0.0,0.0,1.0,0.9875,0.1,12.0,mixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.990625,0.978125,0.990625,0.9875,0.0,0.0,0.0,1.0,0.984375,0.1,62.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
