Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Link prediction,link prediction topk,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density,feature
0,0,0,0.1175,1.0,0.9964850615114236,1.0,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,labse,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.23125,1.0,0.820738137082601,0.9525483304042179,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,glove,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.59,1.0,0.961335676625659,1.0,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0,yamnet
0,0,0,0.12375,1.0,0.7100175746924429,0.8875219683655536,0.0,0.0,0.0,0,0,0.1,-1000.0,fixed,-1000.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0,yamnet
