Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Link prediction,link prediction topk,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density
0.48,0.61,0.165,0.85,1.0,0.16,0.34,0.0,0.0,0.0,0,0,0.1,-2000.0,full_weighted,-2000.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0
0.345,0.63,0.165,0.93,1.0,0.14,0.43,0.0,0.0,0.0,0,0,0.1,-2000.0,full_weighted,-2000.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0
