Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Link prediction,link prediction topk,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density
0.315,0.615,0.155,0.88,1.0,0.185,0.625,0.0,0.0,0.0,0,0,0.1,-1000.0,full_weighted,-1000.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0
0.37,0.675,0.165,0.87,1.0,0.155,0.49,0.0,0.0,0.0,0,0,0.1,-1000.0,full_weighted,-1000.0,0.5,1.0,0.5,phon_count,filter,full,clique,1,1.0,1.0
