Supervised Model,Unsupervised Model,Heterogeneous Model,Spectrogram Baseline,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa
0.95,0.725,0.15,0.3,0.1,10.0,mixed,10.0,0.0,26.0,0.5,mixed,fixed
0.95,0.6,0.2,0.3,0.1,10.0,mixed,10.0,0.0,26.0,0.5,semantics,fixed
0.95,0.675,0.35,0.3,0.1,10.0,fixed,10.0,0.0,31.0,0.5,phon_count,fixed
0.925,0.625,0.3,0.3,0.1,10.0,fixed,10.0,0.0,31.0,0.5,mixed,fixed
0.95,0.8,0.3,0.3,0.1,10.0,fixed,10.0,0.0,31.0,0.5,semantics,fixed
0.95,0.75,0.05,0.3,0.1,10.0,ML,10.0,0.0,31.0,0.5,phon_count,fixed
0.875,0.775,0.175,0.3,0.1,10.0,ML,10.0,0.0,31.0,0.5,mixed,fixed
0.95,0.825,0.525,0.3,0.1,10.0,ML,10.0,0.0,31.0,0.5,semantics,fixed
0.95,0.775,0.15,0.3,0.1,10.0,mixed,10.0,0.0,31.0,0.5,phon_count,fixed
0.925,0.525,0.55,0.3,0.1,10.0,mixed,10.0,0.0,31.0,0.5,mixed,fixed
0.925,0.725,0.225,0.3,0.1,10.0,mixed,10.0,0.0,31.0,0.5,semantics,fixed
0.975,0.725,0.35,0.3,0.1,10.0,fixed,10.0,0.0,36.0,0.5,phon_count,fixed
0.95,0.725,0.525,0.3,0.1,10.0,fixed,10.0,0.0,36.0,0.5,mixed,fixed
0.975,0.75,0.45,0.3,0.1,10.0,fixed,10.0,0.0,36.0,0.5,semantics,fixed
0.925,0.625,0.375,0.3,0.1,10.0,ML,10.0,0.0,36.0,0.5,phon_count,fixed
1.0,0.65,0.375,0.3,0.1,10.0,ML,10.0,0.0,36.0,0.5,mixed,fixed
0.95,0.7,0.35,0.3,0.1,10.0,ML,10.0,0.0,36.0,0.5,semantics,fixed
0.95,0.775,0.75,0.3,0.1,10.0,mixed,10.0,0.0,36.0,0.5,phon_count,fixed
0.9,0.75,0.225,0.3,0.1,10.0,mixed,10.0,0.0,36.0,0.5,mixed,fixed
0.95,0.65,0.35,0.3,0.1,10.0,mixed,10.0,0.0,36.0,0.5,semantics,fixed
0.9,0.75,0.425,0.3,0.1,10.0,fixed,10.0,0.0,41.0,0.5,phon_count,fixed
0.975,0.525,0.3,0.3,0.1,10.0,fixed,10.0,0.0,41.0,0.5,mixed,fixed
0.925,0.65,0.075,0.3,0.1,10.0,fixed,10.0,0.0,41.0,0.5,semantics,fixed
1.0,0.7,0.075,0.3,0.1,10.0,ML,10.0,0.0,41.0,0.5,phon_count,fixed
0.925,0.725,0.2,0.3,0.1,10.0,ML,10.0,0.0,41.0,0.5,mixed,fixed
0.95,0.675,0.25,0.3,0.1,10.0,ML,10.0,0.0,41.0,0.5,semantics,fixed
0.975,0.675,0.425,0.3,0.1,10.0,mixed,10.0,0.0,41.0,0.5,phon_count,fixed
0.925,0.725,0.275,0.3,0.1,10.0,mixed,10.0,0.0,41.0,0.5,mixed,fixed
1.0,0.775,0.525,0.3,0.1,10.0,mixed,10.0,0.0,41.0,0.5,semantics,fixed
0.975,0.725,0.4,0.3,0.1,10.0,fixed,10.0,0.0,46.0,0.5,phon_count,fixed
1.0,0.775,0.3,0.3,0.1,10.0,fixed,10.0,0.0,46.0,0.5,mixed,fixed
0.925,0.625,0.175,0.3,0.1,10.0,fixed,10.0,0.0,46.0,0.5,semantics,fixed
0.975,0.55,0.375,0.3,0.1,10.0,ML,10.0,0.0,46.0,0.5,phon_count,fixed
0.975,0.625,0.225,0.3,0.1,10.0,ML,10.0,0.0,46.0,0.5,mixed,fixed
0.975,0.725,0.475,0.3,0.1,10.0,ML,10.0,0.0,46.0,0.5,semantics,fixed
0.95,0.675,0.05,0.3,0.1,10.0,mixed,10.0,0.0,46.0,0.5,phon_count,fixed
1.0,0.725,0.425,0.3,0.1,10.0,mixed,10.0,0.0,46.0,0.5,mixed,fixed
1.0,0.8,0.175,0.3,0.1,10.0,mixed,10.0,0.0,46.0,0.5,semantics,fixed
1.0,0.5,0.225,0.3,0.1,10.0,fixed,10.0,0.0,51.0,0.5,phon_count,fixed
1.0,0.625,0.525,0.3,0.1,10.0,fixed,10.0,0.0,51.0,0.5,mixed,fixed
0.95,0.7,0.225,0.3,0.1,10.0,fixed,10.0,0.0,51.0,0.5,semantics,fixed
0.95,0.6,0.35,0.3,0.1,10.0,ML,10.0,0.0,51.0,0.5,phon_count,fixed
0.925,0.625,0.4,0.3,0.1,10.0,ML,10.0,0.0,51.0,0.5,mixed,fixed
