Supervised Model,Unsupervised Model,Heterogeneous Model,Spectrogram Baseline,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw
0.985,1.0,0.095,0.27,0.1,50.0,fixed,50.0,0.0,1.0,0.5,semantics,fixed,full
0.995,0.995,0.715,0.27,0.1,50.0,ML,50.0,0.0,1.0,0.5,phon_coo,fixed,full
0.99,0.995,0.55,0.27,0.1,50.0,ML,50.0,0.0,1.0,0.5,phon_suit,fixed,full
0.99,0.995,0.295,0.27,0.1,50.0,ML,50.0,0.0,1.0,0.5,phon_count,fixed,full
0.99,0.995,0.7,0.27,0.1,50.0,ML,50.0,0.0,1.0,0.5,mixed,fixed,full
0.99,1.0,0.6,0.27,0.1,50.0,ML,50.0,0.0,1.0,0.5,semantics,fixed,full
0.985,1.0,0.3,0.27,0.1,50.0,mixed,50.0,0.0,1.0,0.5,phon_coo,fixed,full
0.99,0.995,0.285,0.27,0.1,50.0,mixed,50.0,0.0,1.0,0.5,phon_suit,fixed,full
0.99,0.995,0.655,0.27,0.1,50.0,mixed,50.0,0.0,1.0,0.5,phon_count,fixed,full
1.0,0.995,0.55,0.27,0.1,50.0,mixed,50.0,0.0,1.0,0.5,mixed,fixed,full
0.99,0.99,0.625,0.27,0.1,50.0,mixed,50.0,0.0,1.0,0.5,semantics,fixed,full
0.98,0.99,0.305,0.27,0.1,20.0,fixed,20.0,0.0,2.0,0.5,phon_coo,fixed,full
0.99,0.995,0.475,0.27,0.1,20.0,fixed,20.0,0.0,2.0,0.5,phon_suit,fixed,full
0.985,0.98,0.4,0.27,0.1,20.0,fixed,20.0,0.0,2.0,0.5,phon_count,fixed,full
0.985,0.98,0.25,0.27,0.1,20.0,fixed,20.0,0.0,2.0,0.5,mixed,fixed,full
0.98,0.98,0.21,0.27,0.1,20.0,fixed,20.0,0.0,2.0,0.5,semantics,fixed,full
1.0,0.955,0.49,0.27,0.1,20.0,ML,20.0,0.0,2.0,0.5,phon_coo,fixed,full
0.99,0.975,0.22,0.27,0.1,20.0,ML,20.0,0.0,2.0,0.5,phon_suit,fixed,full
0.99,0.995,0.405,0.27,0.1,20.0,ML,20.0,0.0,2.0,0.5,phon_count,fixed,full
0.995,0.985,0.35,0.27,0.1,20.0,ML,20.0,0.0,2.0,0.5,mixed,fixed,full
0.965,0.98,0.51,0.27,0.1,20.0,ML,20.0,0.0,2.0,0.5,semantics,fixed,full
