Supervised Model,Unsupervised Model,Heterogeneous Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw
1.0,0.9666666666666667,0.9833333333333333,0.0,0.15,0.45,0.1,50.0,ML,50.0,0.0,2.0,0.5,phon_suit,mixed,full
0.9666666666666667,0.9,1.0,0.0,0.15,0.35,0.2,50.0,ML,50.0,0.0,2.0,0.5,phon_suit,mixed,full
1.0,0.9833333333333333,0.9666666666666667,0.0,0.15,0.35,0.3,50.0,ML,50.0,0.0,2.0,0.5,phon_suit,mixed,full
1.0,0.9333333333333333,0.9666666666666667,0.0,0.15,0.4166666666666667,0.1,50.0,ML,50.0,0.0,2.0,0.5,phon_coo,mixed,full
1.0,0.95,0.9833333333333333,0.0,0.15,0.31666666666666665,0.2,50.0,ML,50.0,0.0,2.0,0.5,phon_coo,mixed,full
1.0,0.9833333333333333,0.9833333333333333,0.0,0.15,0.36666666666666664,0.3,50.0,ML,50.0,0.0,2.0,0.5,phon_coo,mixed,full
1.0,0.95,0.9833333333333333,0.0,0.15,0.36666666666666664,0.1,50.0,ML,50.0,0.0,2.0,0.5,phon_count,mixed,full
1.0,0.9333333333333333,0.9833333333333333,0.0,0.15,0.35,0.2,50.0,ML,50.0,0.0,2.0,0.5,phon_count,mixed,full
0.9833333333333333,0.85,0.9833333333333333,0.0,0.15,0.36666666666666664,0.3,50.0,ML,50.0,0.0,2.0,0.5,phon_count,mixed,full
0.9833333333333333,0.9333333333333333,0.95,0.0,0.15,0.26666666666666666,0.1,50.0,ML,50.0,0.0,2.0,0.5,mixed,mixed,full
1.0,0.9666666666666667,0.9833333333333333,0.0,0.15,0.3,0.2,50.0,ML,50.0,0.0,2.0,0.5,mixed,mixed,full
0.9833333333333333,0.95,0.9833333333333333,0.0,0.15,0.4166666666666667,0.3,50.0,ML,50.0,0.0,2.0,0.5,mixed,mixed,full
1.0,0.9166666666666666,0.9666666666666667,0.0,0.15,0.3333333333333333,0.1,50.0,ML,50.0,0.0,2.0,0.5,semantics,mixed,full
1.0,0.9333333333333333,0.9833333333333333,0.0,0.15,0.36666666666666664,0.2,50.0,ML,50.0,0.0,2.0,0.5,semantics,mixed,full
1.0,0.9,1.0,0.0,0.15,0.3333333333333333,0.3,50.0,ML,50.0,0.0,2.0,0.5,semantics,mixed,full
