Supervised Model,Unsupervised Model,Heterogeneous Model,Spectrogram Baseline,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa
1.0,1.0,0.7,0.1,0.1,10.0,fixed,10.0,0.0,1.0,0.5,phon_count,fixed
1.0,1.0,0.4,0.1,0.1,10.0,fixed,10.0,0.0,1.0,0.5,mixed,fixed
1.0,1.0,0.5,0.1,0.1,10.0,fixed,10.0,0.0,1.0,0.5,semantics,fixed
1.0,0.9,0.3,0.1,0.1,10.0,ML,10.0,0.0,1.0,0.5,phon_count,fixed
1.0,1.0,0.3,0.1,0.1,10.0,ML,10.0,0.0,1.0,0.5,mixed,fixed
1.0,0.9,0.9,0.1,0.1,10.0,ML,10.0,0.0,1.0,0.5,semantics,fixed
1.0,1.0,0.3,0.1,0.1,10.0,mixed,10.0,0.0,1.0,0.5,phon_count,fixed
1.0,1.0,0.4,0.1,0.1,10.0,mixed,10.0,0.0,1.0,0.5,mixed,fixed
1.0,1.0,0.5,0.1,0.1,10.0,mixed,10.0,0.0,1.0,0.5,semantics,fixed
1.0,1.0,0.3,0.1,0.1,10.0,fixed,10.0,0.0,6.0,0.5,phon_count,fixed
1.0,1.0,0.6,0.1,0.1,10.0,fixed,10.0,0.0,6.0,0.5,mixed,fixed
0.9,1.0,0.0,0.1,0.1,10.0,fixed,10.0,0.0,6.0,0.5,semantics,fixed
1.0,1.0,0.7,0.1,0.1,10.0,ML,10.0,0.0,6.0,0.5,phon_count,fixed
0.9,1.0,0.6,0.1,0.1,10.0,ML,10.0,0.0,6.0,0.5,mixed,fixed
1.0,0.9,0.5,0.1,0.1,10.0,ML,10.0,0.0,6.0,0.5,semantics,fixed
1.0,0.9,0.8,0.1,0.1,10.0,mixed,10.0,0.0,6.0,0.5,phon_count,fixed
1.0,1.0,0.8,0.1,0.1,10.0,mixed,10.0,0.0,6.0,0.5,mixed,fixed
1.0,1.0,0.7,0.1,0.1,10.0,mixed,10.0,0.0,6.0,0.5,semantics,fixed
1.0,1.0,0.6,0.1,0.1,10.0,fixed,10.0,0.0,11.0,0.5,phon_count,fixed
1.0,1.0,0.7,0.1,0.1,10.0,fixed,10.0,0.0,11.0,0.5,mixed,fixed
1.0,1.0,0.7,0.1,0.1,10.0,fixed,10.0,0.0,11.0,0.5,semantics,fixed
1.0,1.0,0.3,0.1,0.1,10.0,ML,10.0,0.0,11.0,0.5,phon_count,fixed
1.0,1.0,0.5,0.1,0.1,10.0,ML,10.0,0.0,11.0,0.5,mixed,fixed
1.0,1.0,0.7,0.1,0.1,10.0,ML,10.0,0.0,11.0,0.5,semantics,fixed
1.0,0.9,0.7,0.1,0.1,10.0,mixed,10.0,0.0,11.0,0.5,phon_count,fixed
1.0,1.0,0.6,0.1,0.1,10.0,mixed,10.0,0.0,11.0,0.5,mixed,fixed
0.9,1.0,0.8,0.1,0.1,10.0,mixed,10.0,0.0,11.0,0.5,semantics,fixed
1.0,1.0,0.6,0.1,0.1,10.0,fixed,10.0,0.0,16.0,0.5,phon_count,fixed
1.0,1.0,0.8,0.1,0.1,10.0,fixed,10.0,0.0,16.0,0.5,mixed,fixed
1.0,1.0,0.8,0.1,0.1,10.0,fixed,10.0,0.0,16.0,0.5,semantics,fixed
1.0,1.0,0.3,0.1,0.1,10.0,ML,10.0,0.0,16.0,0.5,phon_count,fixed
1.0,1.0,0.1,0.1,0.1,10.0,ML,10.0,0.0,16.0,0.5,mixed,fixed
1.0,1.0,0.9,0.1,0.1,10.0,ML,10.0,0.0,16.0,0.5,semantics,fixed
1.0,1.0,0.7,0.1,0.1,10.0,mixed,10.0,0.0,16.0,0.5,phon_count,fixed
1.0,1.0,0.5,0.1,0.1,10.0,mixed,10.0,0.0,16.0,0.5,mixed,fixed
1.0,1.0,0.7,0.1,0.1,10.0,mixed,10.0,0.0,16.0,0.5,semantics,fixed
1.0,1.0,0.1,0.1,0.1,10.0,fixed,10.0,0.0,1.0,0.5,phon_count,mixed
0.9,1.0,0.3,0.1,0.1,10.0,fixed,10.0,0.0,1.0,0.5,mixed,mixed
0.9,1.0,0.3,0.1,0.1,10.0,fixed,10.0,0.0,1.0,0.5,semantics,mixed
1.0,1.0,0.7,0.1,0.1,10.0,ML,10.0,0.0,1.0,0.5,phon_count,mixed
1.0,0.9,0.3,0.1,0.1,10.0,ML,10.0,0.0,1.0,0.5,mixed,mixed
1.0,1.0,0.2,0.1,0.1,10.0,ML,10.0,0.0,1.0,0.5,semantics,mixed
1.0,0.9,0.4,0.1,0.1,10.0,mixed,10.0,0.0,1.0,0.5,phon_count,mixed
1.0,1.0,0.5,0.1,0.1,10.0,mixed,10.0,0.0,1.0,0.5,mixed,mixed
1.0,1.0,0.3,0.1,0.1,10.0,mixed,10.0,0.0,1.0,0.5,semantics,mixed
1.0,1.0,0.4,0.1,0.1,10.0,fixed,10.0,0.0,6.0,0.5,phon_count,mixed
1.0,1.0,0.9,0.1,0.1,10.0,fixed,10.0,0.0,6.0,0.5,mixed,mixed
1.0,1.0,0.8,0.1,0.1,10.0,fixed,10.0,0.0,6.0,0.5,semantics,mixed
1.0,1.0,0.7,0.1,0.1,10.0,ML,10.0,0.0,6.0,0.5,phon_count,mixed
1.0,1.0,1.0,0.1,0.1,10.0,ML,10.0,0.0,6.0,0.5,mixed,mixed
1.0,1.0,0.6,0.1,0.1,10.0,ML,10.0,0.0,6.0,0.5,semantics,mixed
1.0,1.0,0.6,0.1,0.1,10.0,mixed,10.0,0.0,6.0,0.5,phon_count,mixed
1.0,1.0,0.4,0.1,0.1,10.0,mixed,10.0,0.0,6.0,0.5,mixed,mixed
1.0,1.0,0.9,0.1,0.1,10.0,mixed,10.0,0.0,6.0,0.5,semantics,mixed
1.0,1.0,0.5,0.1,0.1,10.0,fixed,10.0,0.0,11.0,0.5,phon_count,mixed
1.0,1.0,0.4,0.1,0.1,10.0,fixed,10.0,0.0,11.0,0.5,mixed,mixed
1.0,0.9,0.8,0.1,0.1,10.0,fixed,10.0,0.0,11.0,0.5,semantics,mixed
1.0,0.9,1.0,0.1,0.1,10.0,ML,10.0,0.0,11.0,0.5,phon_count,mixed
1.0,1.0,0.8,0.1,0.1,10.0,ML,10.0,0.0,11.0,0.5,mixed,mixed
0.9,1.0,0.8,0.1,0.1,10.0,ML,10.0,0.0,11.0,0.5,semantics,mixed
1.0,1.0,0.8,0.1,0.1,10.0,mixed,10.0,0.0,11.0,0.5,phon_count,mixed
1.0,1.0,0.6,0.1,0.1,10.0,mixed,10.0,0.0,11.0,0.5,mixed,mixed
1.0,1.0,1.0,0.1,0.1,10.0,mixed,10.0,0.0,11.0,0.5,semantics,mixed
1.0,1.0,0.6,0.1,0.1,10.0,fixed,10.0,0.0,16.0,0.5,phon_count,mixed
1.0,1.0,0.9,0.1,0.1,10.0,fixed,10.0,0.0,16.0,0.5,mixed,mixed
1.0,1.0,0.7,0.1,0.1,10.0,fixed,10.0,0.0,16.0,0.5,semantics,mixed
0.8,0.9,1.0,0.1,0.1,10.0,ML,10.0,0.0,16.0,0.5,phon_count,mixed
0.9,1.0,0.7,0.1,0.1,10.0,ML,10.0,0.0,16.0,0.5,mixed,mixed
1.0,0.9,0.9,0.1,0.1,10.0,ML,10.0,0.0,16.0,0.5,semantics,mixed
