Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Link prediction,link prediction topk,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density
0.96875,0.9166666666666666,0.08333333333333333,0.8229166666666666,0.8333333333333334,0.15625,0.37916666666666665,0.0,0.0,0.0,1.0,1.0,0.1,74.0,full_weighted,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,2.0,1.0
0.96875,0.84375,0.08333333333333333,0.8020833333333334,0.8958333333333334,0.11458333333333333,0.36875,0.0,0.0,0.0,1.0,1.0,0.1,74.0,fixed,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,2.0,1.0
0.96875,0.875,0.08333333333333333,0.84375,0.875,0.19791666666666666,0.42083333333333334,0.0,0.0,0.0,1.0,1.0,0.1,74.0,full_weighted,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0
0.96875,0.8958333333333334,0.08333333333333333,0.875,0.875,0.22291666666666668,0.5770833333333333,0.0,0.0,0.0,1.0,1.0,0.1,74.0,fixed,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.0,1.0
0.9583333333333334,0.9166666666666666,0.09375,0.8541666666666666,0.8541666666666666,0.10208333333333333,0.3541666666666667,0.0,0.0,0.0,1.0,1.0,0.1,74.0,full_weighted,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.1,1.0
0.9583333333333334,0.9270833333333334,0.09375,0.8958333333333334,0.84375,0.11875,0.33125,0.0,0.0,0.0,1.0,1.0,0.1,74.0,fixed,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.1,1.0
0.9479166666666666,0.90625,0.08333333333333333,0.8645833333333334,0.8229166666666666,0.16666666666666666,0.4375,0.0,0.0,0.0,1.0,1.0,0.1,74.0,full_weighted,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.2,1.0
0.9479166666666666,0.9375,0.08333333333333333,0.90625,0.8958333333333334,0.0875,0.3020833333333333,0.0,0.0,0.0,1.0,1.0,0.1,74.0,fixed,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.2,1.0
0.9583333333333334,0.9479166666666666,0.08333333333333333,0.8333333333333334,0.78125,0.15208333333333332,0.42291666666666666,0.0,0.0,0.0,1.0,1.0,0.1,74.0,full_weighted,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.3,1.0
0.9583333333333334,0.875,0.08333333333333333,0.8020833333333334,0.8645833333333334,0.10625,0.32916666666666666,0.0,0.0,0.0,1.0,1.0,0.1,74.0,fixed,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.3,1.0
0.96875,0.90625,0.08333333333333333,0.8333333333333334,0.8333333333333334,0.10208333333333333,0.33541666666666664,0.0,0.0,0.0,1.0,1.0,0.1,74.0,full_weighted,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.4,1.0
0.96875,0.90625,0.08333333333333333,0.84375,0.8854166666666666,0.18541666666666667,0.5041666666666667,0.0,0.0,0.0,1.0,1.0,0.1,74.0,fixed,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.4,1.0
0.96875,0.9375,0.09375,0.875,0.8333333333333334,0.15208333333333332,0.37083333333333335,0.0,0.0,0.0,1.0,1.0,0.1,74.0,full_weighted,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.5,1.0
0.96875,0.9166666666666666,0.09375,0.8854166666666666,0.8229166666666666,0.11458333333333333,0.44375,0.0,0.0,0.0,1.0,1.0,0.1,74.0,fixed,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.5,1.0
0.9583333333333334,0.8645833333333334,0.08333333333333333,0.8541666666666666,0.8854166666666666,0.16875,0.50625,0.0,0.0,0.0,1.0,1.0,0.1,74.0,full_weighted,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.6,1.0
0.9583333333333334,0.9166666666666666,0.08333333333333333,0.8854166666666666,0.8229166666666666,0.17916666666666667,0.48541666666666666,0.0,0.0,0.0,1.0,1.0,0.1,74.0,fixed,74.0,0.5,1.0,0.5,phon_art,filter,full,clique,1,1.6,1.0
