Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous regressor Model,Link prediction,link prediction topk,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma,k_out,lambda,density
0.8125,0.25,0.25,1.0,0.25,0.125,0.375,0.0,0.0,0.0,1.0,1.0,0.1,11.0,full_weighted,5.0,0.5,1.0,0.5,phon_art,knn,full,fixed,1,0.0,0.5
0.8125,0.125,0.25,1.0,0.25,0.125,0.375,0.0,0.0,0.0,1.0,1.0,0.1,11.0,full_weighted,5.0,0.5,1.0,0.5,phon_count,knn,full,fixed,1,0.0,0.5
0.875,0.1875,0.3125,1.0,0.1875,0.125,0.375,0.0,0.0,0.0,1.0,1.0,0.1,11.0,full_weighted,5.0,0.5,1.0,0.5,phon_art,knn,full,fixed,1,0.0,0.5
0.875,0.375,0.3125,0.9375,0.125,0.125,0.375,0.0,0.0,0.0,1.0,1.0,0.1,11.0,full_weighted,5.0,0.5,1.0,0.5,phon_count,knn,full,fixed,1,0.0,0.5
