Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma
1.0,0.9875,0.9947916666666666,0.5041666666666667,0.0,0.0,0.0,1.0,0.9947916666666666,0.1,112.0,dnn,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.984375,0.9947916666666666,0.990625,0.0,0.0,0.0,1.0,0.9947916666666666,0.1,112.0,fixed,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9354166666666667,0.796875,0.8916666666666667,0.9395833333333333,0.0,0.0,0.0,0.9895833333333334,0.9822916666666667,0.1,37.0,dnn,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9354166666666667,0.7802083333333333,0.8916666666666667,0.44479166666666664,0.0,0.0,0.0,0.9895833333333334,0.9822916666666667,0.1,37.0,fixed,37.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.9854166666666667,0.9916666666666667,0.9989583333333333,0.0,0.0,0.0,1.0,1.0,0.1,187.0,dnn,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.9854166666666667,0.9916666666666667,1.0,0.0,0.0,0.0,1.0,1.0,0.1,93.0,dnn,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.9875,0.9916666666666667,1.0,0.0,0.0,0.0,1.0,1.0,0.1,62.0,dnn,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.9854166666666667,0.9916666666666667,1.0,0.0,0.0,0.0,1.0,1.0,0.1,46.0,dnn,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.9875,0.9916666666666667,1.0,0.0,0.0,0.0,1.0,1.0,0.1,37.0,dnn,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.9885416666666667,0.9916666666666667,0.9989583333333333,0.0,0.0,0.0,1.0,1.0,0.1,187.0,fixed,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.99375,0.9916666666666667,1.0,0.0,0.0,0.0,1.0,1.0,0.1,93.0,fixed,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.9864583333333333,0.9916666666666667,1.0,0.0,0.0,0.0,1.0,1.0,0.1,62.0,fixed,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.990625,0.9916666666666667,1.0,0.0,0.0,0.0,1.0,1.0,0.1,46.0,fixed,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.9875,0.9916666666666667,1.0,0.0,0.0,0.0,1.0,1.0,0.1,37.0,fixed,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9989583333333333,0.9885416666666667,0.9927083333333333,0.9989583333333333,0.0,0.0,0.0,1.0,1.0,0.1,187.0,dnn,374.0,0.5,1.0,0.5,phon_count,knn,full,fixed
