Supervised Model,Unsupervised Model,Hibrid Model,Heterogeneous Model,Heterogeneous sage Model,Heterogeneous attention Model,Spectrogram Baseline,CNN Model,DNN Model,twa,num_n_h,mhg,num_n_a,ta,alpha,tw,msw,msa,mgw,mma
0.97,0.9275,0.9575,0.9525,0.0,0.0,0.0,1.0,0.975,0.1,31.0,dnn,62.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.97,0.9525,0.9575,0.9525,0.0,0.0,0.0,1.0,0.975,0.1,31.0,fixed,62.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9725,0.94,0.985,0.9225,0.0,0.0,0.0,1.0,0.975,0.1,37.0,dnn,74.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9725,0.9475,0.985,0.155,0.0,0.0,0.0,1.0,0.975,0.1,37.0,fixed,74.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.985,0.9675,0.99,0.51,0.0,0.0,0.0,1.0,0.975,0.1,43.0,dnn,87.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.985,0.955,0.99,0.895,0.0,0.0,0.0,1.0,0.975,0.1,43.0,fixed,87.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.9675,0.98,0.9825,0.0,0.0,0.0,1.0,0.975,0.1,49.0,dnn,99.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.96,0.98,0.3425,0.0,0.0,0.0,1.0,0.975,0.1,49.0,fixed,99.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.98,0.9525,0.98,0.97,0.0,0.0,0.0,1.0,0.975,0.1,56.0,dnn,112.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.98,0.9625,0.98,0.985,0.0,0.0,0.0,1.0,0.975,0.1,56.0,fixed,112.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9925,0.975,0.9875,0.9875,0.0,0.0,0.0,1.0,0.975,0.1,62.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9925,0.9625,0.9875,0.8775,0.0,0.0,0.0,1.0,0.975,0.1,62.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9875,0.9675,0.995,0.9875,0.0,0.0,0.0,1.0,0.975,0.1,68.0,dnn,136.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9875,0.9725,0.995,0.9775,0.0,0.0,0.0,1.0,0.975,0.1,68.0,fixed,136.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.99,0.9775,0.9875,0.985,0.0,0.0,0.0,1.0,0.975,0.1,74.0,dnn,149.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.99,0.9775,0.9875,0.1,0.0,0.0,0.0,1.0,0.975,0.1,74.0,fixed,149.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9925,0.975,0.995,0.525,0.0,0.0,0.0,1.0,0.975,0.1,80.0,dnn,161.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9925,0.98,0.995,0.505,0.0,0.0,0.0,1.0,0.975,0.1,80.0,fixed,161.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9825,0.9925,0.99,0.0,0.0,0.0,1.0,0.975,0.1,87.0,dnn,174.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9775,0.9925,0.7575,0.0,0.0,0.0,1.0,0.975,0.1,87.0,fixed,174.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.99,0.995,0.1525,0.0,0.0,0.0,1.0,0.975,0.1,93.0,dnn,186.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.9875,0.995,0.9125,0.0,0.0,0.0,1.0,0.975,0.1,93.0,fixed,186.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.9875,0.99,0.995,0.0,0.0,0.0,1.0,0.975,0.1,99.0,dnn,199.0,0.5,1.0,0.5,phon_count,knn,full,fixed
1.0,0.99,0.99,0.09,0.0,0.0,0.0,1.0,0.975,0.1,99.0,fixed,199.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9925,0.98,0.955,0.0,0.0,0.0,1.0,0.975,0.1,105.0,dnn,211.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9825,0.98,0.23,0.0,0.0,0.0,1.0,0.975,0.1,105.0,fixed,211.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.99,0.9925,0.99,0.0,0.0,0.0,1.0,0.975,0.1,112.0,dnn,224.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.995,0.9925,0.9825,0.0,0.0,0.0,1.0,0.975,0.1,112.0,fixed,224.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.985,0.9975,0.985,0.0,0.0,0.0,1.0,0.975,0.1,118.0,dnn,236.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9925,0.9975,0.995,0.0,0.0,0.0,1.0,0.975,0.1,118.0,fixed,236.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9875,0.99,0.3025,0.0,0.0,0.0,1.0,0.975,0.1,124.0,dnn,249.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.99,0.99,0.9425,0.0,0.0,0.0,1.0,0.975,0.1,124.0,fixed,249.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.975,0.9875,0.0975,0.0,0.0,0.0,1.0,0.98,0.1,62.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.98,0.9875,0.2975,0.0,0.0,0.0,1.0,0.98,0.1,31.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.985,0.9875,0.525,0.0,0.0,0.0,1.0,0.98,0.1,20.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.965,0.9875,0.9825,0.0,0.0,0.0,1.0,0.98,0.1,15.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.985,0.9875,0.09,0.0,0.0,0.0,1.0,0.98,0.1,12.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9725,0.9875,0.985,0.0,0.0,0.0,1.0,0.98,0.1,62.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9725,0.9875,0.7425,0.0,0.0,0.0,1.0,0.98,0.1,31.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.98,0.9875,0.3425,0.0,0.0,0.0,1.0,0.98,0.1,20.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9725,0.9875,0.9875,0.0,0.0,0.0,1.0,0.98,0.1,15.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.995,0.9725,0.9875,0.9925,0.0,0.0,0.0,1.0,0.98,0.1,12.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.9775,0.9925,0.9825,0.0,0.0,0.0,1.0,0.99,0.1,62.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.9725,0.9925,0.3625,0.0,0.0,0.0,1.0,0.99,0.1,31.0,dnn,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.9775,0.9925,0.625,0.0,0.0,0.0,1.0,0.99,0.1,62.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
0.9975,0.975,0.9925,0.3575,0.0,0.0,0.0,1.0,0.99,0.1,31.0,fixed,124.0,0.5,1.0,0.5,phon_count,knn,full,fixed
