Traceback (most recent call last):
  File "/home/yannick/Documents/Acoustic_Linguistic_GNN/gnn_model.py", line 256, in <module>
    glist, label_dict = load_graphs(os.path.join(input_folder,graph_file))
  File "/home/yannick/.local/lib/python3.10/site-packages/dgl/data/graph_serialize.py", line 186, in load_graphs
    check_local_file_exists(filename)
  File "/home/yannick/.local/lib/python3.10/site-packages/dgl/data/graph_serialize.py", line 40, in check_local_file_exists
    raise DGLError("File {} does not exist.".format(filename))
dgl._ffi.base.DGLError: File saved_graphs/google_command/clique/filter/kws_graph_24_1_200.dgl does not exist.
1612
8
Epoch 70, Loss: 0.25403568148612976, Accuracy: 13.75%
Epoch 80, Loss: 0.25422364473342896, Accuracy: 13.12%
Epoch 90, Loss: 0.2536516785621643, Accuracy: 13.12%
Epoch 100, Loss: 0.25332894921302795, Accuracy: 13.12%
Epoch 110, Loss: 0.253080278635025, Accuracy: 12.50%
Epoch 120, Loss: 0.25292837619781494, Accuracy: 12.50%
Epoch 130, Loss: 0.25278544425964355, Accuracy: 11.88%
Epoch 140, Loss: 0.25266286730766296, Accuracy: 11.88%
Epoch 150, Loss: 0.2525513172149658, Accuracy: 12.50%
Epoch 160, Loss: 0.25247201323509216, Accuracy: 12.50%
Epoch 170, Loss: 0.2525434195995331, Accuracy: 12.50%
Epoch 180, Loss: 0.2524513006210327, Accuracy: 12.50%
Epoch 190, Loss: 0.2524406909942627, Accuracy: 12.50%
Epoch 0, Loss: 6.003669738769531, Accuracy: 13.12%
Epoch 10, Loss: 262.1916198730469, Accuracy: 12.50%
Epoch 20, Loss: 148.17483520507812, Accuracy: 12.50%
Epoch 30, Loss: 146.2791748046875, Accuracy: 12.50%
Epoch 40, Loss: 146.2262725830078, Accuracy: 12.50%
Epoch 50, Loss: 146.22512817382812, Accuracy: 12.50%
Epoch 60, Loss: 146.22511291503906, Accuracy: 12.50%
Epoch 70, Loss: 146.22508239746094, Accuracy: 12.50%
Epoch 80, Loss: 146.22511291503906, Accuracy: 12.50%
Epoch 90, Loss: 146.22506713867188, Accuracy: 12.50%
Epoch 100, Loss: 146.22506713867188, Accuracy: 12.50%
Epoch 110, Loss: 146.22506713867188, Accuracy: 12.50%
Epoch 120, Loss: 146.22506713867188, Accuracy: 12.50%
Epoch 130, Loss: 146.22506713867188, Accuracy: 12.50%
Epoch 140, Loss: 146.22503662109375, Accuracy: 12.50%
Epoch 150, Loss: 146.2250213623047, Accuracy: 12.50%
Epoch 160, Loss: 146.22503662109375, Accuracy: 12.50%
Epoch 170, Loss: 146.2250213623047, Accuracy: 12.50%
Epoch 180, Loss: 146.2250213623047, Accuracy: 12.50%
Epoch 190, Loss: 146.22500610351562, Accuracy: 12.50%
